date,montant,station,nom_banque
2024-03-11,2191500,YATCHIKA,
2024-03-04,2929250,YATCHIKA,
2024-03-04,0,NKWEN,
2024-03-11,933500,BILONGUE,
2024-03-09,2425400,YATCHIKA,
2024-03-10,2343825,YATCHIKA,
2024-03-11,0,NKWEN,
2024-03-08,0,NKWEN,
2024-03-08,2323150,YATCHIKA,
2024-03-04,747800,NKOABANG,"AFRILAND YDE"
2024-03-01,7434480,NKOLAFAMBA,"AFRILAND YDE"
2024-03-08,1968600,ETOA,"AFRILAND YDE"
2024-03-09,8075050,NKOLAFAMBA,"AFRILAND YDE"
2024-03-03,2454450,NKOLNDA,"AFRILAND YDE"
2024-03-11,2284925,NKOLNDA,"AFRILAND YDE"
2024-03-08,3098925,NKOZOA,"AFRILAND YDE"
2024-03-05,603500,KRIBIPARC,"AFRILAND YDE"
2024-03-05,4261575,NKWEN,"AFRILAND YDE"
2024-03-02,2763400,11EMEARRET,"AFRILAND YDE"
2024-03-03,736500,KUMBA,"AFRILAND YDE"
2024-03-02,3014500,ODZA,"AFRILAND YDE"
2024-03-10,3174100,11EMEARRET,"AFRILAND YDE"
2024-03-09,2673500,ODZA,"AFRILAND YDE"
2024-03-06,258500,MABANDA,"AFRILAND YDE"
2024-03-11,589610,YAKOMBO,"AFRILAND YDE"
2024-03-01,7208625,BIS11EME,"AFRILAND YDE"
2024-03-09,5884000,BIS11EME,"AFRILAND YDE"
2024-03-07,2107225,MEHANDAN,"AFRILAND YDE"
2024-03-05,2926540,YASSA,"AFRILAND YDE"
2024-03-02,3095025,YASSASTADE,"AFRILAND YDE"
2024-03-10,1979760,YASSASTADE,"AFRILAND YDE"
2024-03-06,5151400,YATCHIKA,"AFRILAND YDE"
2024-03-09,2005500,YATCHIKA,"AFRILAND YDE"
2024-03-09,731200,NKOABANG,"AFRILAND YDE"
2024-03-05,1995000,ETOA,"AFRILAND YDE"
2024-03-06,6059720,NKOLAFAMBA,"AFRILAND YDE"
2024-03-08,2376850,NKOLNDA,"AFRILAND YDE"
2024-03-05,1810975,NKOZOA,"AFRILAND YDE"
2024-03-01,794500,KRIBIPARC,"AFRILAND YDE"
2024-03-02,3126850,NKWEN,"AFRILAND YDE"
2024-03-11,45800,KRIBIPARC,"AFRILAND YDE"
2024-03-10,2675000,NKWEN,"AFRILAND YDE"
2024-03-07,3376200,11EMEARRET,"AFRILAND YDE"
2024-03-10,609000,KUMBA,"AFRILAND YDE"
2024-03-07,2883400,ODZA,"AFRILAND YDE"
2024-03-02,91000,MABANDA,"AFRILAND YDE"
2024-03-03,1162925,BILONGUE,"AFRILAND YDE"
2024-03-06,3877000,BIS11EME,"AFRILAND YDE"
2024-03-04,2429550,MEHANDAN,"AFRILAND YDE"
2024-03-02,5393500,YASSA,"AFRILAND YDE"
2024-03-01,2355200,MFOMAKAP,"AFRILAND YDE"
2024-03-10,1637700,YASSA,"AFRILAND YDE"
2024-03-08,1351500,MFOMAKAP,"AFRILAND YDE"
2024-03-07,3132275,YASSASTADE,"AFRILAND YDE"
2024-03-01,1011400,NKOABANG,"AFRILAND YDE"
2024-03-06,743000,NKOABANG,"AFRILAND YDE"
2024-03-02,1772900,ETOA,"AFRILAND YDE"
2024-03-03,5338550,NKOLAFAMBA,"AFRILAND YDE"
2024-03-10,2781750,ETOA,"AFRILAND YDE"
2024-03-11,4170950,NKOLAFAMBA,"AFRILAND YDE"
2024-03-05,2634450,NKOLNDA,"AFRILAND YDE"
2024-03-02,2140550,NKOZOA,"AFRILAND YDE"
2024-03-10,1775500,NKOZOA,"AFRILAND YDE"
2024-03-07,577000,KRIBIPARC,"AFRILAND YDE"
2024-03-07,2774050,NKWEN,"AFRILAND YDE"
2024-03-04,3115300,11EMEARRET,"AFRILAND YDE"
2024-03-06,1158350,KUMBA,"AFRILAND YDE"
2024-03-04,3472000,ODZA,"AFRILAND YDE"
2024-03-11,2914500,ODZA,"AFRILAND YDE"
2024-03-08,65000,MABANDA,"AFRILAND YDE"
2024-03-03,3118275,BIS11EME,"AFRILAND YDE"
2024-03-01,3155825,MEHANDAN,"AFRILAND YDE"
2024-03-11,2808800,BIS11EME,"AFRILAND YDE"
2024-03-09,2153000,MEHANDAN,"AFRILAND YDE"
2024-03-07,5952950,YASSA,"AFRILAND YDE"
2024-03-05,1688350,MFOMAKAP,"AFRILAND YDE"
2024-03-04,2513575,YASSASTADE,"AFRILAND YDE"
2024-03-01,4649200,YATCHIKA,"AFRILAND YDE"
2024-03-08,2542750,YATCHIKA,"AFRILAND YDE"
2024-03-03,811150,NKOABANG,"AFRILAND YDE"
2024-03-10,2475000,YATCHIKA,"AFRILAND YDE"
2024-03-11,756150,NKOABANG,"AFRILAND YDE"
2024-03-07,2053800,ETOA,"AFRILAND YDE"
2024-03-08,6946225,NKOLAFAMBA,"AFRILAND YDE"
2024-03-02,2370500,NKOLNDA,"AFRILAND YDE"
2024-03-10,1790400,NKOLNDA,"AFRILAND YDE"
2024-03-07,1980550,NKOZOA,"AFRILAND YDE"
2024-03-04,28000,KRIBIPARC,"AFRILAND YDE"
2024-03-01,3676825,11EMEARRET,"AFRILAND YDE"
2024-03-02,493000,KUMBA,"AFRILAND YDE"
2024-03-01,3366650,ODZA,"AFRILAND YDE"
2024-03-09,2981700,11EMEARRET,"AFRILAND YDE"
2024-03-08,1127150,ODZA,"AFRILAND YDE"
2024-03-05,110500,MABANDA,"AFRILAND YDE"
2024-03-08,4482625,BIS11EME,"AFRILAND YDE"
2024-03-06,1920650,MEHANDAN,"AFRILAND YDE"
2024-03-04,2018500,YASSA,"AFRILAND YDE"
2024-03-03,678700,MFOMAKAP,"AFRILAND YDE"
2024-03-01,7802350,YASSASTADE,"AFRILAND YDE"
2024-03-09,4024700,YASSASTADE,"AFRILAND YDE"
2024-03-05,4427875,YATCHIKA,"AFRILAND YDE"
2024-03-08,771350,NKOABANG,"AFRILAND YDE"
2024-03-04,2024500,ETOA,"AFRILAND YDE"
2024-03-05,4866050,NKOLAFAMBA,"AFRILAND YDE"
2024-03-07,2219900,NKOLNDA,"AFRILAND YDE"
2024-03-04,1992875,NKOZOA,"AFRILAND YDE"
2024-03-09,325000,KRIBIPARC,"AFRILAND YDE"
2024-03-09,3586800,NKWEN,"AFRILAND YDE"
2024-03-06,3148225,11EMEARRET,"AFRILAND YDE"
2024-03-09,2094800,KUMBA,"AFRILAND YDE"
2024-03-06,2805000,ODZA,"AFRILAND YDE"
2024-03-01,240000,MABANDA,"AFRILAND YDE"
2024-03-05,3699250,BIS11EME,"AFRILAND YDE"
2024-03-03,2454950,MEHANDAN,"AFRILAND YDE"
2024-03-01,4744900,YASSA,"AFRILAND YDE"
2024-03-11,1964250,MEHANDAN,"AFRILAND YDE"
2024-03-09,2804000,YASSA,"AFRILAND YDE"
2024-03-07,1634400,MFOMAKAP,"AFRILAND YDE"
2024-03-06,3850175,YASSASTADE,"AFRILAND YDE"
2024-03-03,4707400,YATCHIKA,"AFRILAND YDE"
2024-03-05,981000,NKOABANG,"AFRILAND YDE"
2024-03-11,2753050,YATCHIKA,"AFRILAND YDE"
2024-03-01,3044150,ETOA,"AFRILAND YDE"
2024-03-02,9217900,NKOLAFAMBA,"AFRILAND YDE"
2024-03-09,1386150,ETOA,"AFRILAND YDE"
2024-03-10,9223600,NKOLAFAMBA,"AFRILAND YDE"
2024-03-04,3119425,NKOLNDA,"AFRILAND YDE"
2024-03-01,2370050,NKOZOA,"AFRILAND YDE"
2024-03-09,2411975,NKOZOA,"AFRILAND YDE"
2024-03-06,50000,KRIBIPARC,"AFRILAND YDE"
2024-03-06,2802925,NKWEN,"AFRILAND YDE"
2024-03-03,2616600,11EMEARRET,"AFRILAND YDE"
2024-03-05,1990000,KUMBA,"AFRILAND YDE"
2024-03-03,2982500,ODZA,"AFRILAND YDE"
2024-03-11,3637250,11EMEARRET,"AFRILAND YDE"
2024-03-10,2488000,ODZA,"AFRILAND YDE"
2024-03-07,1659500,MABANDA,"AFRILAND YDE"
2024-03-05,491732,YAKOMBO,"AFRILAND YDE"
2024-03-02,5409600,BIS11EME,"AFRILAND YDE"
2024-03-10,4818150,BIS11EME,"AFRILAND YDE"
2024-03-08,2392350,MEHANDAN,"AFRILAND YDE"
2024-03-06,4089340,YASSA,"AFRILAND YDE"
2024-03-04,1934575,MFOMAKAP,"AFRILAND YDE"
2024-03-03,2781640,YASSASTADE,"AFRILAND YDE"
2024-03-11,2639825,YASSASTADE,"AFRILAND YDE"
2024-03-07,5474400,YATCHIKA,"AFRILAND YDE"
2024-03-10,812600,NKOABANG,"AFRILAND YDE"
2024-03-06,2253850,ETOA,"AFRILAND YDE"
2024-03-07,4126650,NKOLAFAMBA,"AFRILAND YDE"
2024-03-01,2648675,NKOLNDA,"AFRILAND YDE"
2024-03-09,2177800,NKOLNDA,"AFRILAND YDE"
2024-03-06,1753950,NKOZOA,"AFRILAND YDE"
2024-03-02,80000,KRIBIPARC,"AFRILAND YDE"
2024-03-03,2541950,NKWEN,"AFRILAND YDE"
2024-03-01,945500,KUMBA,"AFRILAND YDE"
2024-03-08,3431800,11EMEARRET,"AFRILAND YDE"
2024-03-03,61800,MABANDA,"AFRILAND YDE"
2024-03-07,4403100,BIS11EME,"AFRILAND YDE"
2024-03-05,1938300,MEHANDAN,"AFRILAND YDE"
2024-03-03,1433000,YASSA,"AFRILAND YDE"
2024-03-02,1737400,MFOMAKAP,"AFRILAND YDE"
2024-03-11,1307500,YASSA,"AFRILAND YDE"
2024-03-08,5339900,YASSASTADE,"AFRILAND YDE"
2024-03-04,2496475,YATCHIKA,"AFRILAND YDE"
2024-03-02,719350,NKOABANG,"AFRILAND YDE"
2024-03-07,905750,NKOABANG,"AFRILAND YDE"
2024-03-03,1629450,ETOA,"AFRILAND YDE"
2024-03-04,5963725,NKOLAFAMBA,"AFRILAND YDE"
2024-03-11,2329300,ETOA,"AFRILAND YDE"
2024-03-06,2317425,NKOLNDA,"AFRILAND YDE"
2024-03-03,1207175,NKOZOA,"AFRILAND YDE"
2024-03-11,2494825,NKOZOA,"AFRILAND YDE"
2024-03-08,317000,KRIBIPARC,"AFRILAND YDE"
2024-03-05,3689500,11EMEARRET,"AFRILAND YDE"
2024-03-07,874650,KUMBA,"AFRILAND YDE"
2024-03-05,3093000,ODZA,"AFRILAND YDE"
2024-03-09,104500,MABANDA,"AFRILAND YDE"
2024-03-01,1658230,YAKOMBO,"AFRILAND YDE"
2024-03-04,3202375,BIS11EME,"AFRILAND YDE"
2024-03-02,2246600,MEHANDAN,"AFRILAND YDE"
2024-03-10,1964350,MEHANDAN,"AFRILAND YDE"
2024-03-08,5190800,YASSA,"AFRILAND YDE"
2024-03-06,1423000,MFOMAKAP,"AFRILAND YDE"
2024-03-05,3447725,YASSASTADE,"AFRILAND YDE"
2024-03-02,4864000,YATCHIKA,"AFRILAND YDE"
2024-03-03,1013600,LIMBE,"BICEC 2"
2024-03-11,0,LIMBE,"BICEC 2"
2024-03-04,2612300,BEPANDA,"BICEC 2"
2024-03-08,3601000,LOUM,"BICEC 2"
2024-03-09,3280650,SICCACAO,"BICEC 2"
2024-03-05,3404290,YAKOMBO,"BICEC 2"
2024-03-05,2571525,BILONGUE,"BICEC 2"
2024-03-08,14453025,YAPAKI,"BICEC 2"
2024-03-06,2963300,BONENDALE,"BICEC 2"
2024-03-08,505800,LIMBE,"BICEC 2"
2024-03-01,2779175,BEPANDA,"BICEC 2"
2024-03-05,2359500,LOUM,"BICEC 2"
2024-03-09,2451150,BEPANDA,"BICEC 2"
2024-03-02,3791450,YAKOMBO,"BICEC 2"
2024-03-09,3900600,YAKOMBO,"BICEC 2"
2024-03-10,1150675,BILONGUE,"BICEC 2"
2024-03-05,4367400,YAPAKI,"BICEC 2"
2024-03-03,2688550,BONENDALE,"BICEC 2"
2024-03-11,2546175,BONENDALE,"BICEC 2"
2024-03-05,1238000,LIMBE,"BICEC 2"
2024-03-02,2398000,LOUM,"BICEC 2"
2024-03-06,2684050,BEPANDA,"BICEC 2"
2024-03-10,3491500,LOUM,"BICEC 2"
2024-03-11,3931825,SICCACAO,"BICEC 2"
2024-03-06,2893600,YAKOMBO,"BICEC 2"
2024-03-07,2543250,BILONGUE,"BICEC 2"
2024-03-02,6470125,YAPAKI,"BICEC 2"
2024-03-10,4917000,YAPAKI,"BICEC 2"
2024-03-08,2608350,BONENDALE,"BICEC 2"
2024-03-02,1007300,LIMBE,"BICEC 2"
2024-03-10,1223975,LIMBE,"BICEC 2"
2024-03-03,2260400,BEPANDA,"BICEC 2"
2024-03-07,3010700,LOUM,"BICEC 2"
2024-03-11,1108500,BEPANDA,"BICEC 2"
2024-03-08,4604325,SICCACAO,"BICEC 2"
2024-03-04,4471000,YAKOMBO,"BICEC 2"
2024-03-04,2823925,BILONGUE,"BICEC 2"
2024-03-11,2648900,YAKOMBO,"BICEC 2"
2024-03-07,8241400,YAPAKI,"BICEC 2"
2024-03-05,2749075,BONENDALE,"BICEC 2"
2024-03-07,1504700,LIMBE,"BICEC 2"
2024-03-04,2353450,LOUM,"BICEC 2"
2024-03-08,2606650,BEPANDA,"BICEC 2"
2024-03-06,4091050,SICCACAO,"BICEC 2"
2024-03-01,2468350,YAKOMBO,"BICEC 2"
2024-03-02,2737100,BILONGUE,"BICEC 2"
2024-03-08,2501300,YAKOMBO,"BICEC 2"
2024-03-09,3468575,BILONGUE,"BICEC 2"
2024-03-04,5778950,YAPAKI,"BICEC 2"
2024-03-02,3020800,BONENDALE,"BICEC 2"
2024-03-10,2538800,BONENDALE,"BICEC 2"
2024-03-04,0,LIMBE,"BICEC 2"
2024-03-01,6024825,LOUM,"BICEC 2"
2024-03-05,2453600,BEPANDA,"BICEC 2"
2024-03-09,3502050,LOUM,"BICEC 2"
2024-03-04,1941025,SICCACAO,"BICEC 2"
2024-03-10,3395900,SICCACAO,"BICEC 2"
2024-03-06,2644000,BILONGUE,"BICEC 2"
2024-03-01,16654200,YAPAKI,"BICEC 2"
2024-03-09,4166300,YAPAKI,"BICEC 2"
2024-03-07,2481493,BONENDALE,"BICEC 2"
2024-03-01,1434600,LIMBE,"BICEC 2"
2024-03-08,1409500,ODZA,"BICEC 2"
2024-03-09,1757800,LIMBE,"BICEC 2"
2024-03-02,2308250,BEPANDA,"BICEC 2"
2024-03-06,3165750,LOUM,"BICEC 2"
2024-03-01,4000850,SICCACAO,"BICEC 2"
2024-03-10,2292950,BEPANDA,"BICEC 2"
2024-03-07,2182050,SICCACAO,"BICEC 2"
2024-03-03,1933350,YAKOMBO,"BICEC 2"
2024-03-03,1161450,BILONGUE,"BICEC 2"
2024-03-10,2317600,YAKOMBO,"BICEC 2"
2024-03-11,758350,BILONGUE,"BICEC 2"
2024-03-06,5214900,YAPAKI,"BICEC 2"
2024-03-04,3186550,BONENDALE,"BICEC 2"
2024-03-06,5921500,LIMBE,"BICEC 2"
2024-03-03,3274050,LOUM,"BICEC 2"
2024-03-07,2777900,BEPANDA,"BICEC 2"
2024-03-11,3408275,LOUM,"BICEC 2"
2024-03-05,4505250,SICCACAO,"BICEC 2"
2024-03-01,2377625,BILONGUE,"BICEC 2"
2024-03-07,3124450,YAKOMBO,"BICEC 2"
2024-03-08,2751750,BILONGUE,"BICEC 2"
2024-03-03,4828500,YAPAKI,"BICEC 2"
2024-03-11,8122800,YAPAKI,"BICEC 2"
2024-03-01,2718975,BONENDALE,"BICEC 2"
2024-03-09,2561450,BONENDALE,"BICEC 2"
2024-03-11,4105550,DJADOMBE,ECOBANK
2024-03-06,1905600,NKOLBIKON,ECOBANK
2024-03-07,2343800,KENA,ECOBANK
2024-03-07,2029650,BEKHA,ECOBANK
2024-03-06,3200750,SAMBO,ECOBANK
2024-03-01,2043700,BETARE,ECOBANK
2024-03-09,11576900,BETARE,ECOBANK
2024-03-05,2899000,MALANG,ECOBANK
2024-03-02,333550,MALOGONI,ECOBANK
2024-03-10,1285200,MALOGONI,ECOBANK
2024-03-03,561500,MFOMAKAP,ECOBANK
2024-03-10,1495200,MFOMAKAP,ECOBANK
2024-03-07,2027400,NGUELEMENDOUKA,ECOBANK
2024-03-03,4260100,DJADOMBE,ECOBANK
2024-03-08,4290000,DJADOMBE,ECOBANK
2024-03-03,2686250,NKOLBIKON,ECOBANK
2024-03-11,2189300,NKOLBIKON,ECOBANK
2024-03-04,2877125,KENA,ECOBANK
2024-03-04,2899550,BEKHA,ECOBANK
2024-03-03,4845700,SAMBO,ECOBANK
2024-03-11,4637050,SAMBO,ECOBANK
2024-03-06,3173600,BETARE,ECOBANK
2024-03-02,3342000,MALANG,ECOBANK
2024-03-10,3008100,MALANG,ECOBANK
2024-03-07,793650,MALOGONI,ECOBANK
2024-03-04,2276150,NGUELEMENDOUKA,ECOBANK
2024-03-05,4528750,DJADOMBE,ECOBANK
2024-03-08,3365000,NKOLBIKON,ECOBANK
2024-03-01,4105725,KENA,ECOBANK
2024-03-09,3308575,KENA,ECOBANK
2024-03-01,1740800,BEKHA,ECOBANK
2024-03-09,4422900,BEKHA,ECOBANK
2024-03-08,2696350,SAMBO,ECOBANK
2024-03-03,4804800,BETARE,ECOBANK
2024-03-11,733550,BETARE,ECOBANK
2024-03-07,3836000,MALANG,ECOBANK
2024-03-04,422850,MALOGONI,ECOBANK
2024-03-01,2210250,NGUELEMENDOUKA,ECOBANK
2024-03-09,2173400,NGUELEMENDOUKA,ECOBANK
2024-03-10,4051500,DJADOMBE,ECOBANK
2024-03-04,1495775,KANO,ECOBANK
2024-03-05,2757950,NKOLBIKON,ECOBANK
2024-03-06,2307000,KENA,ECOBANK
2024-03-06,1078050,BEKHA,ECOBANK
2024-03-05,4655800,SAMBO,ECOBANK
2024-03-08,5483400,BETARE,ECOBANK
2024-03-04,1947200,MALANG,ECOBANK
2024-03-01,510350,MALOGONI,ECOBANK
2024-03-09,1200800,MALOGONI,ECOBANK
2024-03-09,2522900,MFOMAKAP,ECOBANK
2024-03-06,1095500,NGUELEMENDOUKA,ECOBANK
2024-03-07,4356300,DJADOMBE,ECOBANK
2024-03-02,2816825,NKOLBIKON,ECOBANK
2024-03-10,1700250,NKOLBIKON,ECOBANK
2024-03-03,2723225,KENA,ECOBANK
2024-03-11,2299550,KENA,ECOBANK
2024-03-03,1555400,BEKHA,ECOBANK
2024-03-02,6865850,SAMBO,ECOBANK
2024-03-11,4149900,BEKHA,ECOBANK
2024-03-10,4236600,SAMBO,ECOBANK
2024-03-05,6837400,BETARE,ECOBANK
2024-03-01,2241450,MALANG,ECOBANK
2024-03-09,4914000,MALANG,ECOBANK
2024-03-06,280200,MALOGONI,ECOBANK
2024-03-03,1537000,NGUELEMENDOUKA,ECOBANK
2024-03-11,1599300,NGUELEMENDOUKA,ECOBANK
2024-03-07,2159350,NKOLBIKON,ECOBANK
2024-03-08,3971200,KENA,ECOBANK
2024-03-08,1262700,BEKHA,ECOBANK
2024-03-07,3669800,SAMBO,ECOBANK
2024-03-02,7647850,BETARE,ECOBANK
2024-03-10,2577000,BETARE,ECOBANK
2024-03-06,2052200,MALANG,ECOBANK
2024-03-03,765050,MALOGONI,ECOBANK
2024-03-11,1544900,MALOGONI,ECOBANK
2024-03-11,2258025,MFOMAKAP,ECOBANK
2024-03-08,2032800,NGUELEMENDOUKA,ECOBANK
2024-03-04,6141600,DJADOMBE,ECOBANK
2024-03-04,2941175,NKOLBIKON,ECOBANK
2024-03-11,1123300,KANO,ECOBANK
2024-03-05,2429400,KENA,ECOBANK
2024-03-05,2281300,BEKHA,ECOBANK
2024-03-04,11789900,SAMBO,ECOBANK
2024-03-07,1363850,BETARE,ECOBANK
2024-03-03,5263400,MALANG,ECOBANK
2024-03-11,2505400,MALANG,ECOBANK
2024-03-08,1274200,MALOGONI,ECOBANK
2024-03-08,825500,MFOMAKAP,ECOBANK
2024-03-05,1751200,NGUELEMENDOUKA,ECOBANK
2024-03-01,3874050,DJADOMBE,ECOBANK
2024-03-06,3266300,DJADOMBE,ECOBANK
2024-03-01,2722600,NKOLBIKON,ECOBANK
2024-03-09,2937100,NKOLBIKON,ECOBANK
2024-03-02,3197450,KENA,ECOBANK
2024-03-10,2158950,KENA,ECOBANK
2024-03-02,2663750,BEKHA,ECOBANK
2024-03-01,1235150,SAMBO,ECOBANK
2024-03-10,1003300,BEKHA,ECOBANK
2024-03-09,3033800,SAMBO,ECOBANK
2024-03-04,1124500,BETARE,ECOBANK
2024-03-08,4189000,MALANG,ECOBANK
2024-03-05,1032250,MALOGONI,ECOBANK
2024-03-02,1762000,NGUELEMENDOUKA,ECOBANK
2024-03-10,1961800,NGUELEMENDOUKA,ECOBANK
2024-03-02,3633275,KEKEM,"EXPRESS EXCHANGE"
2024-03-10,3872850,KEKEM,"EXPRESS EXCHANGE"
2024-03-07,4751850,KEKEM,"EXPRESS EXCHANGE"
2024-03-04,4320175,KEKEM,"EXPRESS EXCHANGE"
2024-03-01,4496875,KEKEM,"EXPRESS EXCHANGE"
2024-03-09,4096850,KEKEM,"EXPRESS EXCHANGE"
2024-03-06,4054400,KEKEM,"EXPRESS EXCHANGE"
2024-03-01,2881550,NKWEN,"EXPRESS EXCHANGE"
2024-03-03,3158550,KEKEM,"EXPRESS EXCHANGE"
2024-03-11,3798300,KEKEM,"EXPRESS EXCHANGE"
2024-03-08,4553950,KEKEM,"EXPRESS EXCHANGE"
2024-03-05,4045600,KEKEM,"EXPRESS EXCHANGE"
2024-03-05,1946700,KANO,"SGC 1"
2024-03-03,3237725,SICCACAO,"SGC 1"
2024-03-07,1756800,BOMAKA,"SGC 1"
2024-03-03,1445000,BUEA,"SGC 1"
2024-03-02,2457250,KANO,"SGC 1"
2024-03-10,2808400,KANO,"SGC 1"
2024-03-07,2153850,SICCACAO,"SGC 1"
2024-03-03,855900,BOMAKA,"SGC 1"
2024-03-10,552500,BUEA,"SGC 1"
2024-03-07,4073950,KANO,"SGC 1"
2024-03-04,1977100,SICCACAO,"SGC 1"
2024-03-10,1741000,BOMAKA,"SGC 1"
2024-03-06,1015250,BUEA,"SGC 1"
2024-03-02,3240325,SICCACAO,"SGC 1"
2024-03-06,2296050,BOMAKA,"SGC 1"
2024-03-02,879600,BUEA,"SGC 1"
2024-03-02,3697400,DJADOMBE,"SGC 1"
2024-03-01,3101100,KANO,"SGC 1"
2024-03-09,2991700,KANO,"SGC 1"
2024-03-02,3820150,BOMAKA,"SGC 1"
2024-03-09,381500,BUEA,"SGC 1"
2024-03-06,2602300,KANO,"SGC 1"
2024-03-09,2244950,BOMAKA,"SGC 1"
2024-03-05,1983700,BUEA,"SGC 1"
2024-03-09,3695075,DJADOMBE,"SGC 1"
2024-03-03,2034650,KANO,"SGC 1"
2024-03-05,2465125,BOMAKA,"SGC 1"
2024-03-01,778400,BUEA,"SGC 1"
2024-03-08,1305400,KANO,"SGC 1"
2024-03-01,1952800,BOMAKA,"SGC 1"
2024-03-07,452500,BUEA,"SGC 1"
